# Data adapted from Woods 2008 SIRS reference solar spectrum:
# Woods et al., Solar Irradiance Reference Spectra (SIRS) for
# the 2008 Whole Heliosphere Interval (WHI), Geophys. Res. Lett., 2008.
# Wavelength (microns)    Spectral Luminosity (W micron-1)
1
6.955e5
  0.000150000  3.52155e+17
  0.000250000  3.44309e+18
  0.000350000  1.75549e+19
  0.000450000  4.73703e+19
  0.000550000  1.51701e+20
  0.000650000  6.47503e+20
  0.000750000  3.63376e+20
  0.000850000  4.17373e+20
  0.000950000  1.95266e+21
   0.00105000  1.34065e+21
   0.00115000  1.96256e+21
   0.00125000  3.49990e+21
   0.00135000  5.51772e+21
   0.00145000  6.43706e+21
   0.00155000  1.23280e+22
   0.00165000  1.15442e+22
   0.00175000  1.09964e+22
   0.00185000  1.35232e+22
   0.00195000  4.51964e+21
   0.00205000  1.12939e+21
   0.00215000  4.28284e+22
   0.00225000  1.57275e+21
   0.00235000  9.43749e+20
   0.00245000  4.66728e+21
   0.00255000  1.20344e+21
   0.00265000  1.74334e+21
   0.00275000  1.22762e+21
   0.00285000  6.25567e+21
   0.00295000  3.36041e+21
   0.00305000  1.79779e+21
   0.00315000  1.60059e+21
   0.00325000  1.99712e+21
   0.00335000  1.41939e+22
   0.00345000  2.79213e+21
   0.00355000  2.70155e+21
   0.00365000  2.28524e+21
   0.00375000  1.10135e+21
   0.00385000  1.04598e+21
   0.00395000  3.29291e+21
   0.00405000  3.46503e+22
   0.00415000  1.47510e+21
   0.00425000  4.93304e+21
   0.00435000  6.07990e+21
   0.00445000  7.30803e+21
   0.00455000  3.54687e+21
   0.00465000  9.74910e+21
   0.00475000  7.07011e+21
   0.00485000  4.06573e+21
   0.00495000  6.16511e+21
   0.00505000  1.80344e+22
   0.00515000  1.44259e+21
   0.00525000  7.49645e+21
   0.00535000  2.22084e+21
   0.00545000  6.11815e+21
   0.00555000  1.90359e+22
   0.00565000  7.54707e+21
   0.00575000  9.70804e+21
   0.00585000  7.97060e+20
   0.00595000  2.86545e+21
   0.00605000  7.80524e+21
   0.00615000  1.06755e+22
   0.00625000  8.74230e+21
   0.00635000  8.85985e+21
   0.00645000  5.33689e+21
   0.00655000  5.29808e+21
   0.00665000  7.37524e+21
   0.00675000  8.36882e+21
   0.00685000  4.17260e+21
   0.00695000  1.37558e+22
   0.00705000  1.10259e+22
   0.00715000  7.95148e+21
   0.00725000  1.36908e+22
   0.00735000  8.09603e+21
   0.00745000  1.02727e+22
   0.00755000  1.00666e+22
   0.00765000  6.28407e+21
   0.00775000  7.85305e+21
   0.00785000  7.07461e+21
   0.00795000  5.85041e+21
   0.00805000  5.31158e+21
   0.00815000  9.86806e+21
   0.00825000  1.19126e+22
   0.00835000  1.25954e+22
   0.00845000  8.49200e+21
   0.00855000  6.50455e+21
   0.00865000  8.39835e+21
   0.00875000  8.50241e+21
   0.00885000  7.54285e+21
   0.00895000  6.99446e+21
   0.00905000  6.93455e+21
   0.00915000  8.88319e+21
   0.00925000  7.56198e+21
   0.00935000  9.34806e+21
   0.00945000  7.12410e+21
   0.00955000  1.15428e+22
   0.00965000  1.02308e+22
   0.00975000  8.53334e+21
   0.00985000  8.87504e+21
   0.00995000  5.21624e+21
    0.0100500  7.93686e+21
    0.0101500  6.90587e+21
    0.0102500  8.69364e+21
    0.0103500  1.25785e+22
    0.0104500  6.87128e+21
    0.0105500  7.00542e+21
    0.0106500  4.66897e+21
    0.0107500  3.48668e+21
    0.0108500  3.97911e+21
    0.0109500  2.47797e+21
    0.0110500  3.29938e+21
    0.0111500  7.19019e+21
    0.0112500  4.61526e+21
    0.0113500  6.10858e+21
    0.0114500  5.36220e+21
    0.0115500  5.03344e+21
    0.0116500  6.67020e+21
    0.0117500  5.00082e+21
    0.0118500  3.12699e+21
    0.0119500  3.03165e+21
    0.0120500  2.48477e+21
    0.0121500  2.61504e+21
    0.0122500  3.52352e+21
    0.0123500  3.19589e+21
    0.0124500  1.88930e+21
    0.0125500  1.43475e+21
    0.0126500  1.20639e+21
    0.0127500  2.55733e+21
    0.0128500  2.11316e+21
    0.0129500  3.06653e+21
    0.0130500  4.65097e+21
    0.0131500  5.23734e+21
    0.0132500  2.26280e+21
    0.0133500  2.43545e+21
    0.0134500  2.56045e+21
